MATERIAL;fechamento;ent;saida
RH1;;;
BORO;;;
ALUMINIO GRANULADO;;;12,5
MANGANES METALICO BITOLADO;;;
COQUE RECARB. ( 10/15 );;;
TITANIO;;;8
VANADIO;;;
NIOBIO ;;;
FOSFORO;;;
ENXOFRE;;;
AMOSTRADOR DE ALUMiNIO;;;
AMOSTRADOR DE ZIRCoNIO;;;
TERMOP TEMPERATUA ;;;
QUABRADOR DE ESCORIA;;;
SENSOR ALUTIP;;;
SENSOR CELOX ;;;
SENSOR HYDRIS;;;
SENSOR UBC;;;
MANGANES METALICO BRIQUETE;;;12
FERRO ANTIMONIO;;;
TITANIO;;;
BOBINA CaSi ( RIMA ) EIXO VERTICAL; ;;
BOBINA CaSi ( BONZEL ) DEITADA                                 ;;;
