JANEIRO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
COQUE RECARB. ( 3/5 );1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;32;1;1;1;1;1;54;1;1;1;1;1;1;1;1;1;115
ALUMINIO GOTAO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2332;1;1;1;454;1;1;1;1;1;1;1;1;1;1;2815
CROMO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
MANGANES NITROGINADO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;32;1;1;1;1;1;45;1;1;1;1;1;1;1;3;1;1;108
BOBINA FeCa ( AFFIVAL ) EMBALADA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;32;1;1;1;1;54;1;1;1;4;1;1;1;118
BOBINA CaSi ( RIMA );1;1;1;1;1;1;1;1;1;1;1;1;1;1;32;1;1;1;1;5452;1;1;1;1;1;1;1;1;1;1;1;5513
BOBINA CaSi ( RIMA ) EIXO VERTICAL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
SENSOR TERMOP ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;34
SENSOR ALUTP 360 ;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;54;1;54;1;1;1;1;1;138
SENSOR CELOX    ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
AMOSTR, ZIRCONIO ;1;1;1;1;1;1;1;1;1;1;1;1;232;1;1;1;1;1;1;1;1;1;1;54;1;1;1;1;1;1;1;315
FERRO SIL. BAIXO CARBONO / FeSiB Calcio;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;54;1;1;1;1;84
MANGANES A/C  ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;54;54;1;1;1;1;1;1;137
MANGANES M/;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
