JANEIRO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
BORO;1;1;1;1;1;1;1;1;1;1;1;43;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;73
ALUMINIO GRANULADO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
MANGANES METALICO BITOLADO;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;6;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;46
COQUE RECARB. ( 10/15 );1;1;1;1;1;1;1;1;1;1;1;43;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;1;1;78
TITANIO;1;1;1;1;1;1;1;1;1;1;1;43;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;73
VANADIO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
NIOBIO ;1;1;1;1;1;1;1;1;1;1;1;43;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;78
FOSFORIO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
ENXOFRE;1;1;1;1;1;1;1;1;1;1;1;76;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;106
AMOSTRADOR DE ALUMiNIO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;1;77;1;1;1;1;1;1;1;1;1;1;1;1;112
AMOSTRADOR DE ZIRCoNIO;1;1;1;1;1;1;1;1;1;1;1;54;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;84
TERMOP TEMPERATUA ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
QUABRADOR DE ESCORIA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
SENSOR ALUTIP;1;1;1;1;1;1;1;1;1;1;1;76;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;106
SENSOR CELOX ;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;36
SENSOR HYDRIS;1;1;1;1;1;1;1;1;1;1;1;12;1;1;1;1;77;1;1;1;1;1;1;1;1;1;1;1;1;1;1;118
SENSOR UBC;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;55;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;85
MANGANES METALICO BRIQUETE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;43;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;73
FERRO ANTIMONIO;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
TITANIO;1;1;1;1;1;1;1;1;1;1;1;1;6;1;32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;67
BOBINA CaSi ( RIMA ) EIXO VERTICAL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31
BOBINA CaSi ( BONZEL ) DEITADA;1;1;1;1;1;1;1;1;1;1;1;6;1;32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;67
