;;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;20;;21;;22;;23;;24;;25;;26;;27;;28;;29;;30;;31;;;
MATERIAL;fechamento;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;SALDO DE SAIDA;SALDO DE ENTRADA
RH1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
BORO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
ALUMINIO GRANULADO;;;12,5;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,5;
MANGANES METALICO BITOLADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
COQUE RECARB. ( 10/15 );;;;;;;;;;;4,8;;;;;;;;;;;;;;;;5;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,8;
TITANIO;;;8;;;;;;;;;;;;;;;;6;;;;4;;;;8;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;
VANADIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
NIOBIO ;;;;;;;;;;;4;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;
FÓSFORIO;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;
ENXOFRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
AMOSTRADOR DE ALUMiNIO;;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;360;
AMOSTRADOR DE ZIRCoNIO;;;;;;;;;;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;360;
TERMOP TEMPERATUA ;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;
QUABRADOR DE ESCÓRIA;;;;;;;;;;;;;;;;;;;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168;
SENSOR ALUTIP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
SENSOR CELOX ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
SENSOR HYDRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
SENSOR UBC;;;;;;;;;;;;;;;;;;;336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;336;
MANGANES METALICO BRIQUETE;;;12;;;;;;;;;;;;;;;;8;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;
FERRO ANTIMONIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
TITANIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
BOBINA CaSi ( RIMA ) EIXO VERTICAL; ;;;;;;;;;;;;2,6;;;;;;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,3;
BOBINA CaSi ( BONZEL ) DEITADA                                 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
