MATERIAL	DATA : 01/09/2022	DATA : 02/09/2023	DATA : 03/09/2024	DATA : 04/09/2025	DATA : 05/09/2026	DATA : 06/09/2027	DATA : 01/09/2028	DATA : 01/09/2029	DATA : 01/09/2030	DATA : 01/09/2031	DATA : 01/09/2032	DATA : 01/09/2033	DATA : 01/09/2034	DATA : 01/09/2035	DATA : 01/09/2036	DATA : 01/09/2037	DATA : 01/09/2038	DATA : 01/09/2039	DATA : 01/09/2040	DATA : 01/09/2041	DATA : 01/09/2042	DATA : 01/09/2043	DATA : 01/09/2044	DATA : 01/09/2045	DATA : 01/09/2046	DATA : 01/09/2047	DATA : 01/09/2048	DATA : 01/09/2049	DATA : 01/09/2050	DATA : 01/09/2051	DATA : 01/09/2052	TOTAL
SENSOR ALUTIP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	34	1	1	1	4	1	70
SENSOR CELOX 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	34
SENSOR HYDRIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	434	1	1	1	1	1	464
SENSOR   UBC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	35
QUEBRADOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35	1	4	1	1	1	1	68
TERMOPAR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53	1	4	1	1	1	1	86
BORO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	6	1	38
FOSFORO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53	1	1	1	1	1	1	83
COQ 3/5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31
COQ 10/15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53	1	1	1	1	1	83
BOBINA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	54	1	1	87
TITANIO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31
NIOBIO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	54	1	1	84
CROMO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	353	1	1	1	1	1	1	383
GOTAO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31
ALTO CARBONO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	45	1	1	1	75
MEDIO CARBONO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	34
SILICIO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	535	1	1	54	1	1	1	618
ANTIMONIO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	54	1	1	1	4	1	87
METALICO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53	1	5	1	1	1	1	87
AMOSTRADOR ZIRCONIO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	353	1	1	1	4	1	1	386
AMOSTRADOR ALUMINIO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	545	1	1	4	1	1	578
EMXOFRE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	545	1	1	4	4	1	581
