;;;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;20;;21;;22;;23;;24;;25;;26;;27;;28;;29;;30;;31;;;
MATERIAL;COD. Fornecedor;fechamento;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;ent;saida;SALDO DE SAIDA;SALDO DE ENTRADA
 CONVERTEDOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
IF - VANTEC 0,600;11804589;;;;;14,4;;;;;;9,6;;16,8;;;;16,8;;18,8;;;;;;;;18,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95,2;0
IF - ( TECNO SULFUR ) 0,600;12238420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;0
SID - 0,200;10003112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
ALUMINIO LINGOTE;10003112;;;;;4;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;0
BRIQUETE ALUMINIO saco 25 kg;18142804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
CHAPA COBRE ELETROLITICO;10000156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
COQUE EMBALADO      800KG                            1250KG;13039341;;;;;1,4;;;;;;;;;;;;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,2;0
GRAFITE 1000 KG;18142426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
GRAFITE 500 KG;18142427;;;;;;;;;;;6;;12;;;;;;;;7,5;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,5;0
GRAFITE 400 KG;13121556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
GRAFITE 1400 KG;13121531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
GRAFITE EMBALADO 1400 KG;12461323;;;;;1,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;0
MOLIBIDÊNIO;10006454;;;;;;;;;;;;;;;;;8;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;0
VANÁDIO;18062894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
NIÓBIO;10000255;;;4;;;;;;;;;;4;;;;2;;2;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;0
FÓSFORO;11891844;;;4;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;0
COBRE SUCATA;18044273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
ENXOFRE;10014415;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0
AMOSTRADOR DE ALUMINIO              ( 360 PÇ );11863051;;;;;;;;;;;;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;360;0
NÍQUEL ELETROL. ( LATÃO );12987290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
SENSOR CELOX     ;10020567;;;;;;;;;;;;;;;;;800;;;;;;;;784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1584;0
AMOSTRADOR DE ZIRCÔNIO 360 PÇ;11901152;;;;;;;;;;;360;;;;720;;;;;;1080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2160;0
SENSOR TEMPERATURA TERMOP 400 PÇ;10447601;;;;;;;;;;;400;;;;;;;;;;800;;800;;;;1600;;;;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4400;0
HOT METAL-KR;10021148;;;;;;;;;;;;;;;600;;;;;;;;;;300;;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;0
