Material;Texto breve de material;Estoque disponível
27135;TIJOLO REFRATÁRIO VENTANEIRA CONV LD RHI;48
27224;TIJ REF ARCO TYK CORPORATION DB44-0017-0;9
29705;BLOCO REFRAT UNIFRAX MOLDAFRAX TPMAX 15;256
29705;BLOCO REFRAT UNIFRAX MOLDAFRAX TPMAX 15;132
29705;BLOCO REFRAT UNIFRAX MOLDAFRAX TPMAX 15;124
10000131;CÁLCIO SILÍCIO FINO 58,1% 65% 0,5 A 3MM;16.000
10000156;COBRE ELETROLÍTICO 99,9%;34,871
10000255;FERRO NIÓBIO 63% 70% 10 A 30MM;72.000
10000315;FERRO SILICIO MAGNESIO GROSSO;4.000
10000379;AREIA DE ZIRCONITA ZIRCOSIL BR, ENDEKA C;5.000
10000414;PÓ EXOTÉRMICO COVEREX NP5;6.000
10000584;FERRO SILICIO BAIXO CARBONO FINO;4
10001448;ALUMÍNIO GRAN 95% BIG BAG;91
10001448;ALUMÍNIO GRAN 95% BIG BAG;25
10006454;FERRO MOLIBIDÊNIO 60% 70% 3 A 50MM;24
10006454;FERRO MOLIBIDÊNIO 60% 70% 3 A 50MM;2
10006454;FERRO MOLIBIDÊNIO 60% 70% 3 A 50MM;14
10006514;MANGANÊS NITROG BITOL 83% 88% 10 A 60MM;36
10007042;FERRO BORO 16% 18% 10 A 30MM;2.000
10007042;FERRO BORO 16% 18% 10 A 30MM;30.000
10014415;FERRO ENXOFRE 35% 40% 10 A 40MM;12
10017987;CUNHA VEDAÇÃO 200X40X25 MM L.C.;2.000
10018476;CÁLCIO SILÍCIO FIO 55% 65% DIÂM 13MM;63,897
10018918;ALUMÍNIO GOTÃO 95% EM BIG BAG;75
10018918;ALUMÍNIO GOTÃO 95% EM BIG BAG;89,782
10018918;ALUMÍNIO GOTÃO 95% EM BIG BAG;83,750
10018918;ALUMÍNIO GOTÃO 95% EM BIG BAG;30,860
10018918;ALUMÍNIO GOTÃO 95% EM BIG BAG;30
10018918;ALUMÍNIO GOTÃO 95% EM BIG BAG;265,340
10020542;AMOSTRADOR IMERS ULC 1200 R.H.;3.696
10020567;SENSOR DESCARTÁVEL 1800 - CELOX RH;2.352
10021031;FERRO TITÂNIO 68% 75% 10 A 50MM;226.041
10021031;FERRO TITÂNIO 68% 75% 10 A 50MM;255.400
10021031;FERRO TITÂNIO 68% 75% 10 A 50MM;417.700
10021031;FERRO TITÂNIO 68% 75% 10 A 50MM;25.000
10021031;FERRO TITÂNIO 68% 75% 10 A 50MM;429.008
10021031;FERRO TITÂNIO 68% 75% 10 A 50MM;194.851
10021187;SONDA HYDRIS R.H;384
10447601;TERMOPAR DESC S PT10% 28,6X1800MM;1.600
11047955;AREIA COBERTA 83- 90AFS  RESINA 6 %;5
11118090;SENSOR TEMPERATURA MLA- TSO 1500;1.560
11804589;ESCORIA SINTÉTICA IF 600KG VAMTEC;48
11804589;ESCORIA SINTÉTICA IF 600KG VAMTEC;124,800
11837967;ANTIMÔNIO 97% 10 A 50MM (85% MÍNIMO);14.000
